venue_uri,venue_name
https://dblp.org/streams/conf/hldvt,HLDVT
https://dblp.org/streams/conf/sui,SUI
https://dblp.org/streams/conf/se,Software Engineering (Workshops)
https://dblp.org/streams/series/ceurws,CSE@SE
https://dblp.org/streams/conf/ecmast,ECMAST
https://dblp.org/streams/conf/extreme,Extreme Markup Languages\u00AE
https://dblp.org/streams/conf/icsoc,ICSOC
https://dblp.org/streams/conf/asss,ASSS@AsiaCCS
https://dblp.org/streams/conf/iswcs,ISWCS
https://dblp.org/streams/conf/bcicts,BCICTS
https://dblp.org/streams/conf/cf,Conf. Computing Frontiers
https://dblp.org/streams/conf/cadui,CADUI
https://dblp.org/streams/conf/csfw,CSF
https://dblp.org/streams/conf/atc,ATC
https://dblp.org/streams/conf/soda,SODA
https://dblp.org/streams/conf/delfi,DeLFI
https://dblp.org/streams/conf/aiia,AI*IA
https://dblp.org/streams/conf/modellierung,Modellierung
https://dblp.org/streams/conf/cig,CIG
https://dblp.org/streams/conf/cscwd,CSCWD (Selected papers)
https://dblp.org/streams/conf/amcis,AMCIS
https://dblp.org/streams/conf/ewsdn,EWSDN
https://dblp.org/streams/conf/bdta,BDTA
https://dblp.org/streams/conf/crypto,CRYPTO (1)
https://dblp.org/streams/conf/vg,VG@Eurographics
https://dblp.org/streams/conf/ida,IDA
https://dblp.org/streams/conf/isse2,ISSE
https://dblp.org/streams/conf/fun,FUN
https://dblp.org/streams/conf/dsvis,DSV-IS
https://dblp.org/streams/conf/frocos,FroCos
https://dblp.org/streams/conf/ctrsa,CT-RSA
https://dblp.org/streams/conf/futsec,Future Security
https://dblp.org/streams/conf/gg,Graph-Grammars and Their Application to Computer Science
https://dblp.org/streams/conf/icgt,ICGT
https://dblp.org/streams/conf/icra,ICRA
https://dblp.org/streams/conf/eurocrypt,EUROCRYPT
https://dblp.org/streams/conf/jelia,JELIA
https://dblp.org/streams/conf/lam,Logic and Machines
https://dblp.org/streams/conf/gfkl,GfKl
https://dblp.org/streams/conf/misdoom,MISDOOM
https://dblp.org/streams/conf/tridentcom,TRIDENTCOM
https://dblp.org/streams/conf/icsa,ICSA
https://dblp.org/streams/conf/eknow,eKNOW
https://dblp.org/streams/conf/ucami,UCAmI (2)
https://dblp.org/streams/conf/wises,WISES
https://dblp.org/streams/conf/saner,SANER
https://dblp.org/streams/conf/iccS,International Conference on Computational Science (2)
https://dblp.org/streams/conf/neo,NEO
https://dblp.org/streams/conf/wosp,ICPE (Companion)
https://dblp.org/streams/conf/tamodia,TAMODIA
https://dblp.org/streams/conf/smbm,Semantic Mining in Biomedicine
https://dblp.org/streams/conf/enase,ENASE (Selected Papers)
https://dblp.org/streams/conf/eurousec,EuroUSEC
https://dblp.org/streams/conf/desrist,DESRIST
https://dblp.org/streams/conf/ifsa,IFSA/EUSFLAT/AGOP
https://dblp.org/streams/conf/eusflat,EUSFLAT Conf.
https://dblp.org/streams/conf/mobility,Mobility Conference
https://dblp.org/streams/conf/foal,FOAL
https://dblp.org/streams/conf/ecbs,ECBS
MoDeVVa@MoDELS,MoDeVVa@MoDELS
https://dblp.org/streams/conf/models,MoDELS
MDHPCL@MoDELS,MDHPCL@MoDELS
https://dblp.org/streams/conf/words,WORDS
https://dblp.org/streams/conf/emsoft,EMSOFT
https://dblp.org/streams/conf/fates,FATES/RV
https://dblp.org/streams/conf/ssw,SSW
https://dblp.org/streams/conf/tcs,Theoretical Computer Science
https://dblp.org/streams/conf/med,MED
https://dblp.org/streams/conf/eucc,ECC
https://dblp.org/streams/conf/mfcs,MFCS
https://dblp.org/streams/conf/graphicsinterface,Graphics Interface
https://dblp.org/streams/conf/ifm,IFM
https://dblp.org/streams/conf/mbmv,MBMV
https://dblp.org/streams/conf/cogsci,CogSci
https://dblp.org/streams/conf/scai,SCAI
https://dblp.org/streams/conf/kesamsta,KES-AMSTA (1)
https://dblp.org/streams/conf/isdevel,ISD
https://dblp.org/streams/conf/africon,AFRICON
https://dblp.org/streams/conf/slt,SLT
https://dblp.org/streams/conf/icics,ICICS
https://dblp.org/streams/conf/ewsn,EWSN
https://dblp.org/streams/conf/ifip8,MOBIS
https://dblp.org/streams/conf/diagrams,Diagrams
https://dblp.org/streams/conf/nfvsdn,NFV-SDN
https://dblp.org/streams/conf/ccs,CCS
MPS@CCS,MPS@CCS
https://dblp.org/streams/conf/asiaccs,AsiaCCS
https://dblp.org/streams/conf/spsm-ws,SPSM@CCS
https://dblp.org/streams/conf/webnet,WebNet
https://dblp.org/streams/conf/latice,LaTiCE
https://dblp.org/streams/conf/spin,SPIN
https://dblp.org/streams/conf/flairs,FLAIRS
https://dblp.org/streams/conf/softent,Software-Entwicklung
https://dblp.org/streams/conf/mobis,MobIS
https://dblp.org/streams/conf/foiks,FoIKS
https://dblp.org/streams/conf/IEEEares,ARES
https://dblp.org/streams/conf/dcase,DCASE
https://dblp.org/streams/series/dimacs,Interconnection Networks and Mapping and Scheduling Parallel Computations
https://dblp.org/streams/conf/iri,IRI
https://dblp.org/streams/conf/ecoc,ECOC
https://dblp.org/streams/conf/bncod,BNCOD
https://dblp.org/streams/conf/semweb,ISWC (2)
https://dblp.org/streams/conf/om2,OM@ISWC
https://dblp.org/streams/conf/nliwod,Semdeep/NLIWoD@ISWC
https://dblp.org/streams/conf/quweda,QuWeDa@ISWC
https://dblp.org/streams/conf/wirtschaftsinformatik,Wirtschaftsinformatik (Zentrale Tracks)
https://dblp.org/streams/conf/percom,PerCom Workshops
https://dblp.org/streams/conf/icmi,ICMI
https://dblp.org/streams/conf/tacas,TACAS (2)
https://dblp.org/streams/conf/ecsa,ECSA (Companion)
https://dblp.org/streams/conf/soqua,SOQUA/TECOS
https://dblp.org/streams/conf/irc,IRC
https://dblp.org/streams/conf/services,SERVICES
https://dblp.org/streams/conf/mmsp,MMSP
https://dblp.org/streams/conf/eccv,ECCV Workshops (3)
https://dblp.org/streams/conf/segah,SeGAH
https://dblp.org/streams/conf/icarcv,ICARCV
https://dblp.org/streams/conf/gvd,Grundlagen von Datenbanken
https://dblp.org/streams/conf/esop,ESOP
https://dblp.org/streams/conf/middleware,Middleware Demos/Posters
SERIAL@Middleware,SERIAL@Middleware
https://dblp.org/streams/conf/mw4soc-ws,MW4SOC
https://dblp.org/streams/conf/arm-ws,ARM@Middleware
https://dblp.org/streams/conf/gi,GI Jahrestagung (2)
https://dblp.org/streams/conf/ibm,Wissensrepr\u00E4sentation in Expertensystemen
https://dblp.org/streams/conf/ic,International Conference on Internet Computing
https://dblp.org/streams/conf/iknow,I-KNOW
https://dblp.org/streams/conf/sigsmall,SIGSMALL/PC
https://dblp.org/streams/conf/walcom,WALCOM
https://dblp.org/streams/conf/icara,ICARA
https://dblp.org/streams/conf/vl,VL
https://dblp.org/streams/conf/gmds,GMDS
https://dblp.org/streams/conf/ipsen,IPSEN Book
https://dblp.org/streams/conf/issta,ISSTA
AISTA@ISSTA,AISTA@ISSTA
https://dblp.org/streams/conf/woda,WODA
https://dblp.org/streams/conf/tcc,TCC (1)
https://dblp.org/streams/conf/cg,Computers and Games
https://dblp.org/streams/conf/prolamat,PROLAMAT
https://dblp.org/streams/conf/norchip,NORCHIP
https://dblp.org/streams/conf/iccel,ICCE
https://dblp.org/streams/conf/indiaSE,ISEC
