author_uri,paper_uri
https://dblp.org/pid/k/HKleineBuning,https://dblp.org/rec/series/faia/BuningK21
https://dblp.org/pid/65/4336,https://dblp.org/rec/series/faia/NgomoDKHKB23
https://dblp.org/pid/k/HKleineBuning,https://dblp.org/rec/series/faia/BuningB09
https://dblp.org/pid/k/HKleineBuning,https://dblp.org/rec/series/faia/BuningK09
https://dblp.org/pid/174/1998,https://dblp.org/rec/series/gidiss/Spath19
https://dblp.org/pid/f/AlexanderFoerster,https://dblp.org/rec/series/lncs/BalkeniusFJT08
https://dblp.org/pid/84/1558-1,https://dblp.org/rec/series/lncs/0001JHP16
https://dblp.org/pid/h/FMaufderHeide,https://dblp.org/rec/series/lncs/0001JHP16
https://dblp.org/pid/s/ChristianScheideler,https://dblp.org/rec/series/lncs/DaymudeHRS19
https://dblp.org/pid/f/AlexanderFoerster,https://dblp.org/rec/series/lncs/PezzuloBCFBBFGHKKJLLMMOPPPT08
https://dblp.org/pid/33/2110,https://dblp.org/rec/series/lncs/BlomerL0S16
https://dblp.org/pid/79/6049,https://dblp.org/rec/series/lncs/WredeRHS09
https://dblp.org/pid/94/5744,https://dblp.org/rec/series/lncs/KnuppelKTBKBS20
https://dblp.org/pid/31/5809,https://dblp.org/rec/series/lncs/GieseS13
https://dblp.org/pid/h/FMaufderHeide,https://dblp.org/rec/series/lncs/KlingH19
https://dblp.org/pid/48/4209,https://dblp.org/rec/series/ifip/PasseyBCHLMMOTTW21
https://dblp.org/pid/164/2698,https://dblp.org/rec/series/sci/NguyenH15
https://dblp.org/pid/06/456,https://dblp.org/rec/series/sci/Szwillus11
https://dblp.org/pid/81/3518,https://dblp.org/rec/series/sci/SchutzeWOD13
https://dblp.org/pid/07/2093-1,https://dblp.org/rec/series/sci/Sauer11
https://dblp.org/pid/00/2717,https://dblp.org/rec/conf/dac/BruckKKR86
https://dblp.org/pid/r/FranzJosefRammig,https://dblp.org/rec/conf/dac/BruckKKR86
https://dblp.org/pid/60/10319,https://dblp.org/rec/conf/dac/WitschenWRP22
https://dblp.org/pid/68/3728,https://dblp.org/rec/conf/dac/WitschenWRP22
https://dblp.org/pid/34/34-2,https://dblp.org/rec/conf/dac/MeyerST97
https://dblp.org/pid/34/34-2,https://dblp.org/rec/conf/dac/MeyerC93
https://dblp.org/pid/63/4934-1,https://dblp.org/rec/conf/dac/OetjensBBBBCCDEGKKLM0MPPRRRSSTV14
https://dblp.org/pid/m/WMuller3,https://dblp.org/rec/conf/dac/OetjensBBBBCCDEGKKLM0MPPRRRSSTV14
https://dblp.org/pid/34/34-2,https://dblp.org/rec/conf/dac/SeawrightM98
https://dblp.org/pid/r/FranzJosefRammig,https://dblp.org/rec/conf/dac/Rammig77
https://dblp.org/pid/65/4336,https://dblp.org/rec/conf/igarss/ZinkeN18
https://dblp.org/pid/e/GregorEngels,https://dblp.org/rec/conf/sigir/HeindorfPSE15
https://dblp.org/pid/65/4336,https://dblp.org/rec/conf/sigir/ChoiMVKN17
https://dblp.org/pid/48/4209,https://dblp.org/rec/conf/fiff/Magenheim94
https://dblp.org/pid/48/4209,https://dblp.org/rec/conf/fiff/DonhoffHMR94
https://dblp.org/pid/92/6400,https://dblp.org/rec/conf/sysose/GrasslerW23
https://dblp.org/pid/92/6400,https://dblp.org/rec/conf/sysose/GraesslerHS16
https://dblp.org/pid/92/6400,https://dblp.org/rec/conf/sysose/GraesslerHO18
https://dblp.org/pid/76/5938,https://dblp.org/rec/conf/sutc/WoehrlePLBT08
https://dblp.org/pid/94/5744,https://dblp.org/rec/conf/fuzzing/KummitaMBW24
https://dblp.org/pid/m/BurkhardMonien,https://dblp.org/rec/conf/wg/HeckmannKMU91
https://dblp.org/pid/m/BurkhardMonien,https://dblp.org/rec/conf/wg/MonienS81
https://dblp.org/pid/h/FMaufderHeide,https://dblp.org/rec/conf/wg/Heide01
https://dblp.org/pid/m/BurkhardMonien,https://dblp.org/rec/conf/wg/Monien82
https://dblp.org/pid/m/BurkhardMonien,https://dblp.org/rec/conf/wg/Monien83
https://dblp.org/pid/m/BurkhardMonien,https://dblp.org/rec/conf/wg/Monien80
https://dblp.org/pid/72/8725,https://dblp.org/rec/conf/wg/ElsasserO10
https://dblp.org/pid/m/BurkhardMonien,https://dblp.org/rec/conf/wg/WiegersM88
https://dblp.org/pid/e/GregorEngels,https://dblp.org/rec/conf/wg/EngelsS82
https://dblp.org/pid/31/5809,https://dblp.org/rec/conf/wg/EngelsS82
https://dblp.org/pid/h/FMaufderHeide,https://dblp.org/rec/conf/wg/HeideW95
https://dblp.org/pid/m/BurkhardMonien,https://dblp.org/rec/conf/wg/MenzelM89
https://dblp.org/pid/m/BurkhardMonien,https://dblp.org/rec/conf/wg/BezrukovEMPT00
https://dblp.org/pid/k/HKleineBuning,https://dblp.org/rec/conf/csl/BuningLS88
https://dblp.org/pid/k/HKleineBuning,https://dblp.org/rec/conf/csl/FlogelKB90
https://dblp.org/pid/k/HKleineBuning,https://dblp.org/rec/conf/csl/Buning98
https://dblp.org/pid/k/HKleineBuning,https://dblp.org/rec/conf/csl/KarpinskiBS87
https://dblp.org/pid/177/9340,https://dblp.org/rec/conf/csl/0001HKV16
https://dblp.org/pid/94/5744,https://dblp.org/rec/conf/scam/PiskachevKB21
https://dblp.org/pid/94/5744,https://dblp.org/rec/conf/scam/SchubertSSHB21
https://dblp.org/pid/94/5744,https://dblp.org/rec/conf/scam/KarakayaB21
https://dblp.org/pid/94/5744,https://dblp.org/rec/conf/scam/SchubertLHB21
https://dblp.org/pid/94/5744,https://dblp.org/rec/conf/scam/KrishnamurthyPB22
https://dblp.org/pid/s/ChristianScheideler,https://dblp.org/rec/conf/applied/DouS24
https://dblp.org/pid/52/7395,https://dblp.org/rec/conf/cw/RillingWM10
https://dblp.org/pid/52/7395,https://dblp.org/rec/conf/cw/Wechselberger08
https://dblp.org/pid/m/WMuller3,https://dblp.org/rec/conf/dexaw/ZieglerMSL05
https://dblp.org/pid/07/2093-1,https://dblp.org/rec/conf/dexaw/SauerZ98
https://dblp.org/pid/90/4912,https://dblp.org/rec/conf/dexaw/KlopperPGW08
https://dblp.org/pid/b/StBottcher,https://dblp.org/rec/conf/dexaw/BottcherS05
https://dblp.org/pid/48/5080,https://dblp.org/rec/conf/dexaw/BottcherS05
https://dblp.org/pid/48/5080,https://dblp.org/rec/conf/mmm/HartelD19
https://dblp.org/pid/65/4336,https://dblp.org/rec/conf/inlg/NgomoRMUS18
https://dblp.org/pid/168/1542,https://dblp.org/rec/conf/inlg/NgomoRMUS18
https://dblp.org/pid/168/1542,https://dblp.org/rec/conf/inlg/FerreiraMKW18
https://dblp.org/pid/90/4912,https://dblp.org/rec/conf/chinz/GausemeierFMMF03
https://dblp.org/pid/77/949,https://dblp.org/rec/conf/IEEEssd/WolfS12
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/GilPPT24
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/Turhan23
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/DubslaffKT20
https://dblp.org/pid/76/3237,https://dblp.org/rec/conf/dlog/TurhanP10
