author_uri,author_name,primary_affiliations,all_affiliations,matched_paderborn_affiliations
https://dblp.org/pid/26/4979,Dennis Kundisch,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/26/2578-8,Rui Zhao,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/89/6594,Matthias T. Jung,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/f/AlexanderFoerster,Alexander F\u00F6rster,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/07/2093-1,Stefan Sauer,"Paderborn University, Software Quality Lab (s-lab), Germany","Paderborn University, Software Quality Lab (s-lab), Germany","Paderborn University, Software Quality Lab (s-lab), Germany | Paderborn University, Software Quality Lab (s-lab), Germany"
https://dblp.org/pid/39/3996,Francisco Cortes G\u00F3mez,"University of Paderborn, Paderborn, Germany","University of Paderborn, Paderborn, Germany","University of Paderborn, Paderborn, Germany | University of Paderborn, Paderborn, Germany"
https://dblp.org/pid/39/1215-1,Yuhong Zhao,"University of Paderborn, Heinz Nixdorf Institute, Germany","University of Paderborn, Heinz Nixdorf Institute, Germany","University of Paderborn, Heinz Nixdorf Institute, Germany | University of Paderborn, Heinz Nixdorf Institute, Germany"
https://dblp.org/pid/90/4912,J\u00FCrgen Gausemeier,"University of Paderborn, Heinz Nixdorf Institut, Germany","University of Paderborn, Heinz Nixdorf Institut, Germany","University of Paderborn, Heinz Nixdorf Institut, Germany | University of Paderborn, Heinz Nixdorf Institut, Germany"
https://dblp.org/pid/90/3409-4,Michael Tiemann,"University of Paderborn, Paderborn, Germany","University of Paderborn, Paderborn, Germany","University of Paderborn, Paderborn, Germany | University of Paderborn, Paderborn, Germany"
https://dblp.org/pid/90/390-4,Thomas Schmidt,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/08/8419,Ammar Shaker,"University of Paderborn, Department of Computer Science, Germany","University of Paderborn, Department of Computer Science, Germany","University of Paderborn, Department of Computer Science, Germany | University of Paderborn, Department of Computer Science, Germany"
https://dblp.org/pid/08/335-1,Daniel Warner,"University of Paderborn, Department of Computer Science, Germany","University of Paderborn, Department of Computer Science, Germany","University of Paderborn, Department of Computer Science, Germany | University of Paderborn, Department of Computer Science, Germany"
https://dblp.org/pid/08/7058,Michael Feldmann,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
https://dblp.org/pid/72/8725,Adrian Ogierman,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/64/1143-2,Thomas H\u00FCbner,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
