author_uri,author_name,primary_affiliations,all_affiliations,matched_paderborn_affiliations
https://dblp.org/pid/293/0898,Martin Albrecht-Hohmaier,"University of Paderborn, Musicology Seminar, Detmold, Germany","University of Paderborn, Musicology Seminar, Detmold, Germany","University of Paderborn, Musicology Seminar, Detmold, Germany | University of Paderborn, Musicology Seminar, Detmold, Germany"
https://dblp.org/pid/228/3129,Daniel F. Leite,"Paderborn University, Department of Computer Science, Germany","Paderborn University, Department of Computer Science, Germany","Paderborn University, Department of Computer Science, Germany | Paderborn University, Department of Computer Science, Germany"
https://dblp.org/pid/71/11054,Uwe Pohlmann,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/71/10571-2,Hendrik Schreiber,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
https://dblp.org/pid/123/8761,Lorijn van Rooijen,"University of Paderborn, Heinz Nixdorf Institute, Germany","University of Paderborn, Heinz Nixdorf Institute, Germany","University of Paderborn, Heinz Nixdorf Institute, Germany | University of Paderborn, Heinz Nixdorf Institute, Germany"
https://dblp.org/pid/178/6439,Nils L\u00F6ken,"Paderborn University, Department of Computer Science, Germany","Paderborn University, Department of Computer Science, Germany","Paderborn University, Department of Computer Science, Germany | Paderborn University, Department of Computer Science, Germany"
https://dblp.org/pid/261/3628,Moritz Vinzent Seiler,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
https://dblp.org/pid/22/2959-2,Alexander Roth,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/269/5697,Daniel Eckertz,"Fraunhofer Institute for Mechatronic Systems Design IEM, Paderborn, Germany","Fraunhofer Institute for Mechatronic Systems Design IEM, Paderborn, Germany","Fraunhofer Institute for Mechatronic Systems Design IEM, Paderborn, Germany | Fraunhofer Institute for Mechatronic Systems Design IEM, Paderborn, Germany"
https://dblp.org/pid/269/9773,Nikhil Kumar Jha,"Fraunhofer Institute for Mechatronic Systems Design (IEM), Paderborn, Germany","Fraunhofer Institute for Mechatronic Systems Design (IEM), Paderborn, Germany","Fraunhofer Institute for Mechatronic Systems Design (IEM), Paderborn, Germany | Fraunhofer Institute for Mechatronic Systems Design (IEM), Paderborn, Germany"
https://dblp.org/pid/06/729-1,Eckhard Koch,"FHDW Paderborn, Germany","FHDW Paderborn, Germany","FHDW Paderborn, Germany | FHDW Paderborn, Germany"
https://dblp.org/pid/06/6420-5,Sen Wu,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/06/456,Gerd Szwillus,"University of Paderborn, Department of Computer Science, Germany","University of Paderborn, Department of Computer Science, Germany","University of Paderborn, Department of Computer Science, Germany | University of Paderborn, Department of Computer Science, Germany"
https://dblp.org/pid/44/5175-1,Florian Dittmann,"University of Paderborn, Department of Computer Science, Germany","University of Paderborn, Department of Computer Science, Germany","University of Paderborn, Department of Computer Science, Germany | University of Paderborn, Department of Computer Science, Germany"
https://dblp.org/pid/177/9340,Anselm Haak,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
https://dblp.org/pid/42/7777-1,Marco Schmidt,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/42/9934-1,Alexander Becker,"Paderborn University, Department of Computer Science, DICE Group, Paderborn, Germany","Paderborn University, Department of Computer Science, DICE Group, Paderborn, Germany","Paderborn University, Department of Computer Science, DICE Group, Paderborn, Germany | Paderborn University, Department of Computer Science, DICE Group, Paderborn, Germany"
https://dblp.org/pid/201/1662,Stefan Krauter,"University of Paderborn, Institute for Sustainable Energy Concepts, Paderborn, Germany","University of Paderborn, Institute for Sustainable Energy Concepts, Paderborn, Germany","University of Paderborn, Institute for Sustainable Energy Concepts, Paderborn, Germany | University of Paderborn, Institute for Sustainable Energy Concepts, Paderborn, Germany"
https://dblp.org/pid/70/7024,Volker Peckhaus,"University of Paderborn, Heinz Nixdorf Institut, Germany","University of Paderborn, Heinz Nixdorf Institut, Germany","University of Paderborn, Heinz Nixdorf Institut, Germany | University of Paderborn, Heinz Nixdorf Institut, Germany"
https://dblp.org/pid/70/8643,Nancy Viola W\u00FCnderlich,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
https://dblp.org/pid/70/8080,Martin Dr\u00E4xler,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/70/4639,Wilhelm Dangelmaier,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/70/8761,Dang Hai Tran Vu,"University of Paderborn, Department of Communications Engineering, Germany","University of Paderborn, Department of Communications Engineering, Germany","University of Paderborn, Department of Communications Engineering, Germany | University of Paderborn, Department of Communications Engineering, Germany"
https://dblp.org/pid/70/7642-1,Peter Pietrzyk,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/70/2162,Jonas Schulte,"University of Paderborn, Heinz Nixdorf Institut, Germany","University of Paderborn, Heinz Nixdorf Institut, Germany","University of Paderborn, Heinz Nixdorf Institut, Germany | University of Paderborn, Heinz Nixdorf Institut, Germany"
https://dblp.org/pid/326/5192,S\u00E8djro Salomon Hotegni,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
https://dblp.org/pid/e/GregorEngels,Gregor Engels,"University of Paderborn, Department of Computer Science, Paderborn, Germany","University of Paderborn, Department of Computer Science, Paderborn, Germany","University of Paderborn, Department of Computer Science, Paderborn, Germany | University of Paderborn, Department of Computer Science, Paderborn, Germany"
https://dblp.org/pid/84/6110-2,Frank Bauer,"University of Paderborn, Heinz Nixdorf Institute, Germany","University of Paderborn, Heinz Nixdorf Institute, Germany","University of Paderborn, Heinz Nixdorf Institute, Germany | University of Paderborn, Heinz Nixdorf Institute, Germany"
https://dblp.org/pid/84/1558-1,Matthias Fischer,"University of Paderborn, Heinz Nixdorf Institute","University of Paderborn, Heinz Nixdorf Institute","University of Paderborn, Heinz Nixdorf Institute | University of Paderborn, Heinz Nixdorf Institute"
https://dblp.org/pid/55/3529-3,Rolf M\u00FCller,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/55/3839,Alex S. Leong,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/69/5050-8,Stefan Schneider,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
https://dblp.org/pid/69/5011-16,Wei Zhou,"Universit\u00E4t Paderborn, Germany","Universit\u00E4t Paderborn, Germany","Universit\u00E4t Paderborn, Germany | Universit\u00E4t Paderborn, Germany"
https://dblp.org/pid/69/3369-1,Matthias Becker,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/150/4812-2,Yasir Mahmood,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
https://dblp.org/pid/150/0050,Christina Kolb,"Paderborn University, Department of Computer Science, Germany","Paderborn University, Department of Computer Science, Germany","Paderborn University, Department of Computer Science, Germany | Paderborn University, Department of Computer Science, Germany"
https://dblp.org/pid/216/6738,Fabian Eidens,"Paderborn University, Department of Computer Science, Germany","Paderborn University, Department of Computer Science, Germany","Paderborn University, Department of Computer Science, Germany | Paderborn University, Department of Computer Science, Germany"
https://dblp.org/pid/98/3010-1,Daniel Jung,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/76/5938,Christian Plessl,"University of Paderborn, Paderborn Center for Parallel Computing (PC^2), Germany","University of Paderborn, Paderborn Center for Parallel Computing (PC^2), Germany","University of Paderborn, Paderborn Center for Parallel Computing (PC^2), Germany | University of Paderborn, Paderborn Center for Parallel Computing (PC^2), Germany"
https://dblp.org/pid/76/3237,Anni-Yasmin Turhan,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
https://dblp.org/pid/36/10647,Oleg Travkin,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/09/3612-1,J\u00FCrgen Schulze,"Paderborn University, Department of Computer Science, Germany","Paderborn University, Department of Computer Science, Germany","Paderborn University, Department of Computer Science, Germany | Paderborn University, Department of Computer Science, Germany"
https://dblp.org/pid/60/10319,Tobias Wiersema,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/04/5465-4,Daniel Weber,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
https://dblp.org/pid/04/9921,Reinhold No\u00E9,"University of Paderborn, Institute of Electrical Engineering, Germany","University of Paderborn, Institute of Electrical Engineering, Germany","University of Paderborn, Institute of Electrical Engineering, Germany | University of Paderborn, Institute of Electrical Engineering, Germany"
https://dblp.org/pid/81/7126,Stefan Gr\u00F6sbrink,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/81/7083-5,Muhammad Faisal,"Paderborn University, Paderborn, Germany","Paderborn University, Paderborn, Germany","Paderborn University, Paderborn, Germany | Paderborn University, Paderborn, Germany"
https://dblp.org/pid/81/10647,Gudrun Oevel,"University of Paderborn, Information and Media Technologies Centre (IMT), Paderborn, Germany","University of Paderborn, Information and Media Technologies Centre (IMT), Paderborn, Germany","University of Paderborn, Information and Media Technologies Centre (IMT), Paderborn, Germany | University of Paderborn, Information and Media Technologies Centre (IMT), Paderborn, Germany"
https://dblp.org/pid/81/3518,Sina Ober-Bl\u00F6baum,"University of Paderborn, Department of Mathematics, Germany","University of Paderborn, Department of Mathematics, Germany","University of Paderborn, Department of Mathematics, Germany | University of Paderborn, Department of Mathematics, Germany"
https://dblp.org/pid/153/6937,S. M. Ali Musa Kazmi,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/m/WMuller3,Wolfgang M\u00FCller,"University of Paderborn, Heinz Nixdorf Institute, Germany","University of Paderborn, Heinz Nixdorf Institute, Germany","University of Paderborn, Heinz Nixdorf Institute, Germany | University of Paderborn, Heinz Nixdorf Institute, Germany"
https://dblp.org/pid/m/BurkhardMonien,Burkhard Monien,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/m/MichaelMeier5,Michael Meier,University of Paderborn,University of Paderborn,University of Paderborn | University of Paderborn
https://dblp.org/pid/57/6293-1,Peter G\u00FCnther,"Diebold Nixdorf, Paderborn, Germany","Diebold Nixdorf, Paderborn, Germany","Diebold Nixdorf, Paderborn, Germany | Diebold Nixdorf, Paderborn, Germany"
https://dblp.org/pid/40/4987-1,Mohamed Soliman,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
https://dblp.org/pid/40/8619-1,Elke Wolf,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/19/3568,Rainer Feldmann,"University of Paderborn, Department of Computer Science, Germany","University of Paderborn, Department of Computer Science, Germany","University of Paderborn, Department of Computer Science, Germany | University of Paderborn, Department of Computer Science, Germany"
https://dblp.org/pid/19/6980-1,Carsten Huth,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/14/3197-1,Carsten Schulte,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
https://dblp.org/pid/14/6145-5,Jian Cheng,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/14/4836-3,Stephan Winter,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/202/1859,Jannik Castenow,"Paderborn University, Heinz Nixdorf Institute and Computer Science Department, Germany","Paderborn University, Heinz Nixdorf Institute and Computer Science Department, Germany","Paderborn University, Heinz Nixdorf Institute and Computer Science Department, Germany | Paderborn University, Heinz Nixdorf Institute and Computer Science Department, Germany"
https://dblp.org/pid/138/4956,Simon Trang,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/138/8052,Christine Markarian,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/138/7323,Manuel Malatyali,"University of Paderborn, Heinz Nixdorf Institute, Germany","University of Paderborn, Heinz Nixdorf Institute, Germany","University of Paderborn, Heinz Nixdorf Institute, Germany | University of Paderborn, Heinz Nixdorf Institute, Germany"
https://dblp.org/pid/138/4856,Enes Yigitbas,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/189/4866,Darius Schlangenotto,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/92/1704-3,Andreas Koller,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/92/1305,Jan Wolter,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/92/6400,Iris Gr\u00E4\u00DFler,"University of Paderborn, Heinz Nixdorf Institute, Paderborn, Germany","University of Paderborn, Heinz Nixdorf Institute, Paderborn, Germany","University of Paderborn, Heinz Nixdorf Institute, Paderborn, Germany | University of Paderborn, Heinz Nixdorf Institute, Paderborn, Germany"
https://dblp.org/pid/225/7849-7,Stefanie M\u00FCller,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
https://dblp.org/pid/d/GittaDomik,Gitta Domik,"University of Paderborn, Germany","University of Paderborn, Germany","University of Paderborn, Germany | University of Paderborn, Germany"
https://dblp.org/pid/31/1472-2,Michael Schulte,"Paderborn University, Germany","Paderborn University, Germany","Paderborn University, Germany | Paderborn University, Germany"
